strap,bld_num,effective_year_built,design_code,design,quality,quality_code,bldg_class_code,bldg_class,construction_type_code,construction_type,nbr_bed_room,nbr_full_baths,nbr_three_qtr_baths,nbr_half_baths,nbr_rooms_nobath,total_finished_sqft,mainfloor_sqft,bsmt_sqft,bsmt_type_code,bsmt_type,car_storage_type_code,car_storage_type,ext_wall_code,ext_wall,ac,heating
R0000008,1,1954,0010,1 Story - Ranch,AVERAGE + ,31,1212,SINGLE FAM RES IMPROVEMENTS,320,Masonry,3.0,1.0,0.0,1.0,5.0,1558,1558,,,,,,40.0,Brick Veneer,False,True
R0000019,1,1970,0010,1 Story - Ranch,AVERAGE ,30,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,4.0,1.0,1.0,0.0,9.0,942,942,850,BGF,GARDEN BASEMENT FINISHED AREA,,,10.0,Frame Wood/Shake,True,True
R0000021,2,1985,0060,Studio,GOOD ,40,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,1.0,0.0,0.0,0.0,2.0,360,,,,,GRD,DETACHED GARAGE,10.0,Frame Wood/Shake,False,True
R0000021,1,1990,0020,2-3 Story,GOOD + ,41,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,3.0,1.0,2.0,1.0,7.0,2042,1170,334,BSF,SUBTERRANEAN BASEMENT FINISHED AREA,GRC,CARPORT AREA,10.0,Frame Wood/Shake,False,True
R0000024,1,1960,0020,2-3 Story,GOOD ,40,1212,SINGLE FAM RES IMPROVEMENTS,320,Masonry,3.0,2.0,0.0,1.0,8.0,1370,799,465,BGF,GARDEN BASEMENT FINISHED AREA,GRA,ATTACHED GARAGE AREA,70.0,Brick on Block,False,True
R0000026,1,1983,0020,2-3 Story,GOOD ++ ,42,1212,SINGLE FAM RES IMPROVEMENTS,320,Masonry,4.0,2.0,1.0,0.0,9.0,3022,1296,156,BSF,SUBTERRANEAN BASEMENT FINISHED AREA,GRA,ATTACHED GARAGE AREA,100.0,Moss Rock/Flagstone,False,True
R0000027,1,1985,0020,2-3 Story,AVERAGE ++ ,32,1215,DUP/TRIPLEX IMPROVEMENTS,320,Masonry,10.0,4.0,2.0,0.0,15.0,2736,1368,1368,BSF,SUBTERRANEAN BASEMENT FINISHED AREA,,,70.0,Brick on Block,False,True
R0000028,1,2000,0010,1 Story - Ranch,GOOD ++ ,42,1212,SINGLE FAM RES IMPROVEMENTS,320,Masonry,4.0,2.0,2.0,0.0,9.0,1905,1905,1633,BWF,WALK-OUT BASEMENT FINISHED AREA,GRA,ATTACHED GARAGE AREA,60.0,Block Stucco,True,True
R0000031,1,1975,0010,1 Story - Ranch,GOOD ,40,1215,DUP/TRIPLEX IMPROVEMENTS,320,Masonry,7.0,1.0,2.0,0.0,12.0,1602,1602,1602,BSF,SUBTERRANEAN BASEMENT FINISHED AREA,,,70.0,Brick on Block,False,True
R0000032,1,2008,0020,2-3 Story,VERY GOOD ,50,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,4.0,3.0,0.0,1.0,9.0,4577,2298,1610,BSU,SUBTERRANEAN BASEMENT UNFINISHED AREA,GRB,BASEMENT GARAGE AREA,30.0,Frame Stucco,True,True
R0000034,1,1966,0010,1 Story - Ranch,GOOD ,40,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,3.0,1.0,2.0,0.0,5.0,2444,2444,555,BSU,SUBTERRANEAN BASEMENT UNFINISHED AREA,GRC,CARPORT AREA,10.0,Frame Wood/Shake,False,True
R0000036,1,2002,0020,2-3 Story,GOOD ++ ,42,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,4.0,3.0,0.0,1.0,9.0,2229,1200,1200,BSF,SUBTERRANEAN BASEMENT FINISHED AREA,,,10.0,Frame Wood/Shake,True,True
R0000036,2,2008,0060,Studio,GOOD ,40,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,0.0,0.0,0.0,1.0,2.0,,,,,,GRD,DETACHED GARAGE,10.0,Frame Wood/Shake,False,True
R0000037,1,1980,0010,1 Story - Ranch,AVERAGE ,30,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,3.0,1.0,0.0,0.0,5.0,1176,1176,,,,GRD,DETACHED GARAGE,30.0,Frame Stucco,False,True
R0000038,1,1960,0010,1 Story - Ranch,AVERAGE ,30,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,2.0,1.0,0.0,0.0,4.0,660,660,,,,GRD,DETACHED GARAGE,10.0,Frame Wood/Shake,False,True
R0000047,1,1970,0010,1 Story - Ranch,AVERAGE + ,31,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,2.0,1.0,1.0,0.0,6.0,1654,1654,,,,GRD,DETACHED GARAGE,10.0,Frame Wood/Shake,True,True
R0000048,1,1990,0020,2-3 Story,GOOD ,40,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,3.0,1.0,1.0,0.0,7.0,1843,1118,,,,,,10.0,Frame Wood/Shake,False,True
R0000049,1,1985,0010,1 Story - Ranch,AVERAGE ++ ,32,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,2.0,2.0,0.0,0.0,5.0,1300,1300,,,,,,10.0,Frame Wood/Shake,True,True
R0000052,1,2000,0050,Split-level,GOOD ++ ,42,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,5.0,2.0,1.0,0.0,11.0,2405,1777,529,LWF,LOWER LVL WALKOUT FINISHED (BI-SPLIT LVL),GRB,BASEMENT GARAGE AREA,10.0,Frame Wood/Shake,False,True
R0000086,2,1980,0060,Studio,AVERAGE ++ ,32,1212,SINGLE FAM RES IMPROVEMENTS,320,Masonry,0.0,0.0,0.0,0.0,1.0,,,,,,,,70.0,Brick on Block,False,True
R0000086,1,1980,0020,2-3 Story,AVERAGE ++ ,32,1212,SINGLE FAM RES IMPROVEMENTS,320,Masonry,3.0,2.0,0.0,0.0,8.0,1776,998,,,,,,70.0,Brick on Block,False,True
R0000087,1,1985,0010,1 Story - Ranch,AVERAGE ,30,1212,SINGLE FAM RES IMPROVEMENTS,320,Masonry,2.0,2.0,0.0,0.0,6.0,1236,1236,,,,GRD,DETACHED GARAGE,70.0,Brick on Block,False,True
R0000089,1,1966,0010,1 Story - Ranch,GOOD ++ ,42,1212,SINGLE FAM RES IMPROVEMENTS,320,Masonry,3.0,1.0,1.0,1.0,8.0,1763,1763,1497,BSF,SUBTERRANEAN BASEMENT FINISHED AREA,GRA,ATTACHED GARAGE AREA,40.0,Brick Veneer,False,True
R0000094,1,1951,0010,1 Story - Ranch,AVERAGE ,30,1212,SINGLE FAM RES IMPROVEMENTS,320,Masonry,2.0,1.0,0.0,0.0,5.0,1246,1246,,,,GRA,ATTACHED GARAGE AREA,70.0,Brick on Block,False,True
R0000097,1,2000,0010,1 Story - Ranch,AVERAGE ++ ,32,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,2.0,1.0,0.0,0.0,7.0,1373,1373,,,,GRD,DETACHED GARAGE,10.0,Frame Wood/Shake,True,True
R0000100,1,1975,0020,2-3 Story,AVERAGE ,30,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,3.0,1.0,0.0,0.0,7.0,1673,1146,,,,,,10.0,Frame Wood/Shake,False,True
R0000102,1,1980,0020,2-3 Story,GOOD ,40,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,4.0,2.0,0.0,0.0,8.0,2265,873,888,BSU,SUBTERRANEAN BASEMENT UNFINISHED AREA,GRA,ATTACHED GARAGE AREA,10.0,Frame Wood/Shake,True,True
R0000105,1,2005,0020,2-3 Story,VERY GOOD ++ ,52,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,4.0,3.0,0.0,1.0,12.0,3583,1931,1790,BSF,SUBTERRANEAN BASEMENT FINISHED AREA,,,10.0,Frame Wood/Shake,True,True
R0000105,2,2010,152 ,GARAGE DETACHED RESIDENTIAL,GOOD ++ ,42,1212,SINGLE FAM RES IMPROVEMENTS,,,0.0,0.0,0.0,0.0,0.0,,,,,,GRD,DETACHED GARAGE,,,False,False
R0000106,2,1994,0060,Studio,GOOD ++ ,42,1212,SINGLE FAM RES IMPROVEMENTS,320,Masonry,0.0,0.0,0.0,1.0,1.0,600,600,,,,,,100.0,Moss Rock/Flagstone,False,True
R0000106,1,1994,0020,2-3 Story,VERY GOOD ,50,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,3.0,1.0,1.0,0.0,8.0,3255,1905,,,,GRA,ATTACHED GARAGE AREA,30.0,Frame Stucco,True,True
R0000109,1,1978,0020,2-3 Story,GOOD ,40,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,3.0,2.0,1.0,0.0,7.0,1775,1288,756,BSF,SUBTERRANEAN BASEMENT FINISHED AREA,GRB,BASEMENT GARAGE AREA,10.0,Frame Wood/Shake,True,True
R0000110,1,1995,0050,Split-level,GOOD ++ ,42,1212,SINGLE FAM RES IMPROVEMENTS,320,Masonry,5.0,3.0,0.0,2.0,11.0,1864,958,433,LGF,LOWER LVL GARDEN FINISHED (BI-SPLIT LVL),GRB,BASEMENT GARAGE AREA,40.0,Brick Veneer,True,True
R0000117,1,1990,0020,2-3 Story,GOOD ,40,1215,DUP/TRIPLEX IMPROVEMENTS,310,Frame,6.0,2.0,1.0,1.0,10.0,2526,1263,,,,,,10.0,Frame Wood/Shake,False,True
R0000118,1,1989,0020,2-3 Story,GOOD ++ ,42,1212,SINGLE FAM RES IMPROVEMENTS,320,Masonry,4.0,2.0,1.0,1.0,9.0,2292,1142,,,,GRD,DETACHED GARAGE,70.0,Brick on Block,False,True
R0000119,1,1990,0020,2-3 Story,AVERAGE ++ ,32,1215,DUP/TRIPLEX IMPROVEMENTS,310,Frame,4.0,1.0,0.0,1.0,8.0,1951,1093,603,BSF,SUBTERRANEAN BASEMENT FINISHED AREA,GRD,DETACHED GARAGE,10.0,Frame Wood/Shake,False,True
R0000121,1,1985,0010,1 Story - Ranch,AVERAGE ++ ,32,1212,SINGLE FAM RES IMPROVEMENTS,320,Masonry,3.0,1.0,0.0,0.0,5.0,800,800,576,BSU,SUBTERRANEAN BASEMENT UNFINISHED AREA,,,60.0,Block Stucco,False,True
R0000122,1,2000,0020,2-3 Story,EXCELLENT + ,61,1212,SINGLE FAM RES IMPROVEMENTS,310,Frame,4.0,4.0,0.0,1.0,10.0,5296,2780,2128,BWF,WALK-OUT BASEMENT FINISHED AREA,GRB,BASEMENT GARAGE AREA,40.0,Brick Veneer,True,True
