strap,land_class,land_class_dscr,sqft,acreage
R0000008,1112,SINGLE FAM.RES.-LAND,6801,0.156
R0000019,1112,SINGLE FAM.RES.-LAND,3606,0.083
R0000021,1112,SINGLE FAM.RES.-LAND,6884,0.158
R0000024,1112,SINGLE FAM.RES.-LAND,7245,0.166
R0000026,1112,SINGLE FAM.RES.-LAND,12737,0.292
R0000027,1115,DUP/TRIPLEXES-LAND,4113,0.094
R0000028,1112,SINGLE FAM.RES.-LAND,22580,0.518
R0000031,1115,DUP/TRIPLEXES-LAND,6986,0.16
R0000032,1112,SINGLE FAM.RES.-LAND,7348,0.169
R0000034,1112,SINGLE FAM.RES.-LAND,10108,0.232
R0000036,1112,SINGLE FAM.RES.-LAND,12726,0.292
R0000037,1112,SINGLE FAM.RES.-LAND,4986,0.114
R0000038,1112,SINGLE FAM.RES.-LAND,4132,0.095
R0000047,1112,SINGLE FAM.RES.-LAND,6945,0.159
R0000048,1112,SINGLE FAM.RES.-LAND,3232,0.074
R0000049,1112,SINGLE FAM.RES.-LAND,3616,0.083
R0000052,1112,SINGLE FAM.RES.-LAND,16122,0.3701
R0000086,1112,SINGLE FAM.RES.-LAND,5112,0.1174
R0000087,1112,SINGLE FAM.RES.-LAND,5221,0.1199
R0000089,1112,SINGLE FAM.RES.-LAND,33504,0.769
R0000094,1112,SINGLE FAM.RES.-LAND,5547,0.127
R0000097,1112,SINGLE FAM.RES.-LAND,4558,0.105
R0000100,1112,SINGLE FAM.RES.-LAND,11053,0.254
R0000102,1112,SINGLE FAM.RES.-LAND,7384,0.17
R0000105,1112,SINGLE FAM.RES.-LAND,7076,0.162
R0000106,1112,SINGLE FAM.RES.-LAND,11085,0.254
R0000109,1112,SINGLE FAM.RES.-LAND,8112,0.1862
R0000110,1112,SINGLE FAM.RES.-LAND,34347,0.788
R0000110,1112,SINGLE FAM.RES.-LAND,34347,0.788
R0000117,1115,DUP/TRIPLEXES-LAND,7097,0.163
R0000118,1112,SINGLE FAM.RES.-LAND,9840,0.226
R0000119,1115,DUP/TRIPLEXES-LAND,5484,0.126
R0000121,1112,SINGLE FAM.RES.-LAND,3474,0.08
R0000122,1112,SINGLE FAM.RES.-LAND,26044,0.598
R0000125,1112,SINGLE FAM.RES.-LAND,11570,0.266
R0000135,1112,SINGLE FAM.RES.-LAND,6603,0.152
R0000136,1115,DUP/TRIPLEXES-LAND,8824,0.203
R0000139,1112,SINGLE FAM.RES.-LAND,12326,0.283
R0000141,1112,SINGLE FAM.RES.-LAND,10405,0.239
R0000146,1115,DUP/TRIPLEXES-LAND,6236,0.143
R0000149,1112,SINGLE FAM.RES.-LAND,7518,0.173
R0000166,1112,SINGLE FAM.RES.-LAND,6911,0.159
R0000168,1112,SINGLE FAM.RES.-LAND,7398,0.17
R0000169,1112,SINGLE FAM.RES.-LAND,14883,0.342
R0000173,1112,SINGLE FAM.RES.-LAND,6120,0.14
R0000177,1112,SINGLE FAM.RES.-LAND,3596,0.0826
R0000183,1112,SINGLE FAM.RES.-LAND,7253,0.167
R0000185,1112,SINGLE FAM.RES.-LAND,6555,0.15
R0000191,1115,DUP/TRIPLEXES-LAND,9558,0.219
R0000198,1112,SINGLE FAM.RES.-LAND,2384,0.055
R0000200,1112,SINGLE FAM.RES.-LAND,4538,0.104
R0000201,1112,SINGLE FAM.RES.-LAND,9058,0.208
R0000208,1112,SINGLE FAM.RES.-LAND,2360,0.054
R0000215,1112,SINGLE FAM.RES.-LAND,6029,0.138
R0000216,1112,SINGLE FAM.RES.-LAND,6108,0.14
R0000217,1115,DUP/TRIPLEXES-LAND,8969,0.206
R0000218,1112,SINGLE FAM.RES.-LAND,3661,0.084
R0000224,1112,SINGLE FAM.RES.-LAND,3575,0.082
R0000225,1112,SINGLE FAM.RES.-LAND,2572,0.059
R0000226,1112,SINGLE FAM.RES.-LAND,5513,0.127
R0000227,1112,SINGLE FAM.RES.-LAND,3096,0.071
R0000238,1115,DUP/TRIPLEXES-LAND,6925,0.159
R0000241,1112,SINGLE FAM.RES.-LAND,7038,0.162
R0000242,1112,SINGLE FAM.RES.-LAND,5336,0.122
R0000244,1112,SINGLE FAM.RES.-LAND,5499,0.126
R0000249,1112,SINGLE FAM.RES.-LAND,10011,0.2298
R0000250,1112,SINGLE FAM.RES.-LAND,9842,0.226
R0000252,1112,SINGLE FAM.RES.-LAND,6839,0.157
R0000253,1112,SINGLE FAM.RES.-LAND,7113,0.163
R0000254,1112,SINGLE FAM.RES.-LAND,19615,0.45
R0000255,1112,SINGLE FAM.RES.-LAND,1801,0.041
R0000256,1112,SINGLE FAM.RES.-LAND,11794,0.271
R0000258,1115,DUP/TRIPLEXES-LAND,4524,0.104
R0000261,1112,SINGLE FAM.RES.-LAND,6110,0.14
R0000264,1112,SINGLE FAM.RES.-LAND,2585,0.059
R0000269,1112,SINGLE FAM.RES.-LAND,15300,0.351
R0000282,1112,SINGLE FAM.RES.-LAND,14936,0.343
R0000286,1112,SINGLE FAM.RES.-LAND,11618,0.267
R0000300,1115,DUP/TRIPLEXES-LAND,9580,0.22
R0000305,1112,SINGLE FAM.RES.-LAND,14588,0.335
R0000307,1112,SINGLE FAM.RES.-LAND,17345,0.398
R0000309,1112,SINGLE FAM.RES.-LAND,636,0.015
R0000310,1115,DUP/TRIPLEXES-LAND,4145,0.095
R0000311,1115,DUP/TRIPLEXES-LAND,6136,0.141
R0000314,1112,SINGLE FAM.RES.-LAND,6358,0.146
R0000315,1112,SINGLE FAM.RES.-LAND,10912,0.251
R0000319,1115,DUP/TRIPLEXES-LAND,6055,0.139
R0000324,1112,SINGLE FAM.RES.-LAND,15506,0.356
R0000328,1112,SINGLE FAM.RES.-LAND,6430,0.148
R0000334,1112,SINGLE FAM.RES.-LAND,4454,0.102
R0000337,1115,DUP/TRIPLEXES-LAND,12066,0.277
R0000340,1112,SINGLE FAM.RES.-LAND,5170,0.119
R0000344,1112,SINGLE FAM.RES.-LAND,7057,0.162
R0000345,1112,SINGLE FAM.RES.-LAND,5676,0.13
R0000347,1112,SINGLE FAM.RES.-LAND,8304,0.191
R0000348,1112,SINGLE FAM.RES.-LAND,11756,0.269
R0000351,1112,SINGLE FAM.RES.-LAND,12541,0.288
R0000354,1112,SINGLE FAM.RES.-LAND,7631,0.175
R0000358,1112,SINGLE FAM.RES.-LAND,17585,0.404
R0000360,1112,SINGLE FAM.RES.-LAND,5509,0.126
R0000361,1112,SINGLE FAM.RES.-LAND,6507,0.149
R0000365,1112,SINGLE FAM.RES.-LAND,10507,0.241
R0000366,1112,SINGLE FAM.RES.-LAND,7249,0.166
R0000367,1112,SINGLE FAM.RES.-LAND,5876,0.135
R0000369,1112,SINGLE FAM.RES.-LAND,6164,0.142
R0000373,1112,SINGLE FAM.RES.-LAND,6820,0.157
R0000376,1112,SINGLE FAM.RES.-LAND,7417,0.17
R0000377,1112,SINGLE FAM.RES.-LAND,11823,0.271
R0000378,1112,SINGLE FAM.RES.-LAND,9132,0.21
R0000383,1112,SINGLE FAM.RES.-LAND,2739,0.063
R0000390,1112,SINGLE FAM.RES.-LAND,6982,0.16
R0000391,1112,SINGLE FAM.RES.-LAND,12514,0.287
R0000394,1112,SINGLE FAM.RES.-LAND,6259,0.144
R0000398,1112,SINGLE FAM.RES.-LAND,6180,0.142
R0000401,1112,SINGLE FAM.RES.-LAND,8521,0.196
R0000403,1112,SINGLE FAM.RES.-LAND,7814,0.179
R0000405,1112,SINGLE FAM.RES.-LAND,6489,0.149
R0000407,1112,SINGLE FAM.RES.-LAND,6821,0.157
R0000408,1112,SINGLE FAM.RES.-LAND,5337,0.123
R0000410,1112,SINGLE FAM.RES.-LAND,6608,0.152
R0000413,1112,SINGLE FAM.RES.-LAND,7282,0.167
R0000416,1112,SINGLE FAM.RES.-LAND,10858,0.249
R0000417,1112,SINGLE FAM.RES.-LAND,9406,0.216
R0000423,1115,DUP/TRIPLEXES-LAND,6074,0.139
R0000426,1112,SINGLE FAM.RES.-LAND,16820,0.386
R0000428,1112,SINGLE FAM.RES.-LAND,6946,0.159
R0000429,1112,SINGLE FAM.RES.-LAND,13938,0.32
R0000432,1112,SINGLE FAM.RES.-LAND,6874,0.158
R0000434,1115,DUP/TRIPLEXES-LAND,6987,0.16
R0000441,1112,SINGLE FAM.RES.-LAND,12475,0.286
R0000442,1112,SINGLE FAM.RES.-LAND,8941,0.205
R0000445,1112,SINGLE FAM.RES.-LAND,11390,0.261
R0000448,1112,SINGLE FAM.RES.-LAND,12505,0.287
R0000449,1112,SINGLE FAM.RES.-LAND,13195,0.303
R0000451,1112,SINGLE FAM.RES.-LAND,6969,0.16
R0000452,1112,SINGLE FAM.RES.-LAND,10391,0.239
R0000453,1112,SINGLE FAM.RES.-LAND,9947,0.228
R0000454,1112,SINGLE FAM.RES.-LAND,2934,0.067
R0000456,1112,SINGLE FAM.RES.-LAND,5378,0.123
R0000457,1112,SINGLE FAM.RES.-LAND,14260,0.327
R0000459,1112,SINGLE FAM.RES.-LAND,24561,0.564
R0000464,1112,SINGLE FAM.RES.-LAND,21478,0.493
R0000466,1112,SINGLE FAM.RES.-LAND,6187,0.142
R0000467,1112,SINGLE FAM.RES.-LAND,8758,0.201
R0000474,1112,SINGLE FAM.RES.-LAND,12485,0.2866
R0000476,1115,DUP/TRIPLEXES-LAND,9162,0.21
R0000478,1115,DUP/TRIPLEXES-LAND,8535,0.196
R0000479,1112,SINGLE FAM.RES.-LAND,4853,0.111
R0000481,1112,SINGLE FAM.RES.-LAND,9557,0.219
R0000483,1112,SINGLE FAM.RES.-LAND,8888,0.204
R0000484,1112,SINGLE FAM.RES.-LAND,6247,0.143
R0000486,1112,SINGLE FAM.RES.-LAND,18662,0.428
R0000488,1112,SINGLE FAM.RES.-LAND,6883,0.158
R0000495,1112,SINGLE FAM.RES.-LAND,3787,0.087
R0000502,1112,SINGLE FAM.RES.-LAND,6193,0.142
R0000505,1115,DUP/TRIPLEXES-LAND,2705,0.062
R0000507,1112,SINGLE FAM.RES.-LAND,8278,0.19
R0000510,1112,SINGLE FAM.RES.-LAND,10207,0.234
