strap,market_area,address,unincorporated,sub_code,sub_dscr,section,township,range,mill_levy,folio
R0000008,102,"2002 COLUMBINE AVE, BOULDER CO",False,3822,INTERURBAN PARK - BO,6,1S,70,86.359,157706112001
R0000019,109,"2434 BLUFF ST, BOULDER CO",False,850,BOURGOGNE-PINOT SUB - BO,30,1N,70,86.359,146330639001
R0000021,105,"1219 6TH ST, BOULDER CO",False,8424,VERMONT - BO,36,1N,71,86.359,146136135006
R0000024,105,"655 MARINE ST, BOULDER CO",False,7434,SMITHS TO WEST BOULDER - BO,36,1N,71,86.359,146136122012
R0000026,102,"907 12TH ST, BOULDER CO",False,8343,UNIVERSITY PLACE - BO,31,1N,70,86.359,146331314010
R0000027,105,"658 MARINE ST, BOULDER CO",False,4961,MARINE 658 SUBDIVISION - BO,36,1N,71,86.359,146136159001
R0000028,103,"601 BASELINE RD, BOULDER CO",False,1469,CHAUTAUQUA HEIGHTS - BO,36,1N,71,86.359,146136423007
R0000031,102,"1087 11TH ST, BOULDER CO",False,8343,UNIVERSITY PLACE - BO,31,1N,70,86.359,146331308023
R0000032,109,"2437 20TH ST, BOULDER CO",False,8827,WIDNERS NORTH - BO,30,1N,70,86.359,146330502006
R0000034,102,"301 19TH ST, BOULDER CO",False,3822,INTERURBAN PARK - BO,6,1S,70,86.359,157706120005
R0000036,109,"1718 BLUFF ST, BOULDER CO",False,7981,SUNSET HILL - BO,30,1N,70,86.359,146330226007
R0000037,101,"2002 GROVE ST, BOULDER CO",False,1913,CULVER - BO,30,1N,70,86.359,146330845006
R0000038,109,"2237 PINE ST, BOULDER CO",False,846,BOULDER O T EAST & WEST & NORTH - BO,30,1N,70,86.359,146330608012
R0000047,109,"2417 PINE ST, BOULDER CO",False,846,BOULDER O T EAST & WEST & NORTH - BO,30,1N,70,86.359,146330610009
R0000048,109,"2542 PINE ST, BOULDER CO",False,6497,PINE STREET MINOR SUB - BO,29,1N,70,86.359,146329224001
R0000049,109,"2403 PINE ST, BOULDER CO",False,846,BOULDER O T EAST & WEST & NORTH - BO,30,1N,70,86.359,146330618001
R0000052,103,"1440 BELLEVUE DR, BOULDER CO",False,587,BELLEVUE HEIGHTS - BO,6,1S,70,86.359,157706234002
R0000086,109,"2025 18TH ST, BOULDER CO",False,37,ALCORN SUB - BO,30,1N,70,86.359,146330391003
R0000087,109,"1734 SPRUCE ST, BOULDER CO",False,37,ALCORN SUB - BO,30,1N,70,86.359,146330391002
R0000089,103,"410 COLLEGE AVE, BOULDER CO",False,4001,KECOUGHTAN HILLS - BO,36,1N,71,86.359,146136142006
R0000094,102,"1070 9TH ST, BOULDER CO",False,8343,UNIVERSITY PLACE - BO,31,1N,70,86.359,146331310003
R0000097,101,"1880 23RD ST, BOULDER CO",False,846,BOULDER O T EAST & WEST & NORTH - BO,30,1N,70,86.359,146330433015
R0000100,109,"2541 BLUFF ST, BOULDER CO",False,9901,"TR, NBR 101-103,105,107,109,170",30,1N,70,86.359,146330100014
R0000102,109,"2355 PANORAMA AVE, BOULDER CO",False,6049,PANORAMA HEIGHTS REPLAT - BO,30,1N,70,86.359,146330119013
R0000105,107,"454 HIGHLAND AVE, BOULDER CO",False,4888,MAPLETON - BO,25,1N,71,86.359,146125413001
R0000106,102,"1620 COLUMBINE AVE, BOULDER CO",False,2594,FLORAL PARK & WEIHOFEN RESUB - BO,6,1S,70,86.359,157706206002
R0000109,103,"1078 ROSE HILL DR, BOULDER CO",False,9901,"TR, NBR 101-103,105,107,109,170",36,1N,71,86.359,146136400030
R0000110,103,"430 COLLEGE AVE, BOULDER CO",False,4001,KECOUGHTAN HILLS - BO,36,1N,71,86.359,146136142005
R0000117,109,"2512 MAPLETON AVE, BOULDER CO",False,846,BOULDER O T EAST & WEST & NORTH - BO,30,1N,70,86.359,146330611002
R0000118,105,"558 MARINE ST, BOULDER CO",False,3423,HIGHLAND LAWN - BO,36,1N,71,86.359,146136105007
R0000119,101,"1910 GROVE ST, BOULDER CO",False,1913,CULVER - BO,30,1N,70,86.359,146330844005
R0000121,105,"1317 7TH ST, BOULDER CO",False,1053,BUENA VISTA HEIGHTS - BO,36,1N,71,86.359,146136125002
R0000122,103,"550 12TH ST, BOULDER CO",False,8635,WELLINGTON HEIGHTS - BO,6,1S,70,86.359,157706222001
R0000125,103,"295 BELLEVUE DR, BOULDER CO",False,595,BELLEVUE PARK REPLAT - BO,6,1S,70,86.359,157706232007
R0000135,102,"1809 MARIPOSA AVE, BOULDER CO",False,2594,FLORAL PARK & WEIHOFEN RESUB - BO,6,1S,70,86.359,157706208005
R0000136,105,"1527 5TH ST, BOULDER CO",False,3423,HIGHLAND LAWN - BO,36,1N,71,86.359,146136104003
R0000139,103,"767 8TH ST, BOULDER CO",False,1469,CHAUTAUQUA HEIGHTS - BO,36,1N,71,86.359,146136422002
R0000141,105,"520 UNIVERSITY AVE, BOULDER CO",False,9921,"TR, NBR 158, 160, 162",36,1N,71,86.359,146136100051
R0000146,102,"1090 LINCOLN PL, BOULDER CO",False,8343,UNIVERSITY PLACE - BO,31,1N,70,86.359,146331309001
R0000149,109,"2325 BALSAM DR, BOULDER CO",False,6049,PANORAMA HEIGHTS REPLAT - BO,30,1N,70,86.359,146330118004
R0000166,109,"2005 SPRUCE ST, BOULDER CO",False,846,BOULDER O T EAST & WEST & NORTH - BO,30,1N,70,86.359,146330404002
R0000168,103,"875 7TH ST, BOULDER CO",False,6780,REAS - BO,36,1N,71,86.359,146136426002
R0000169,103,"1060 5TH ST, BOULDER CO",False,2859,GENEVA PARK - BO,36,1N,71,86.359,146136405004
R0000173,107,"516 PINE ST, BOULDER CO",False,4933,MAPLETON TERRACE - BO,25,1N,71,86.359,146125432003
R0000177,109,"2464 20TH ST, BOULDER CO",False,8832,WIDNERS NORTH REPLAT A - BO,30,1N,70,86.359,146330521002
R0000183,109,"1820 SPRUCE ST, BOULDER CO",False,846,BOULDER O T EAST & WEST & NORTH - BO,30,1N,70,86.359,146330410003
R0000185,102,"2236 COLUMBINE AVE, BOULDER CO",False,3822,INTERURBAN PARK - BO,6,1S,70,86.359,157706104008
R0000191,102,"1032 LINCOLN PL, BOULDER CO",False,8343,UNIVERSITY PLACE - BO,31,1N,70,86.359,146331309007
R0000198,102,"980 COLLEGE AVE, BOULDER CO",False,8343,UNIVERSITY PLACE - BO,31,1N,70,86.359,146331309022
R0000200,105,"950 GRANDVIEW AVE, BOULDER CO",False,9921,"TR, NBR 158, 160, 162",31,1N,70,86.359,146331200038
R0000201,103,"880 6TH ST, BOULDER CO",False,6780,REAS - BO,36,1N,71,86.359,146136426008
R0000208,102,"888 18TH ST, BOULDER CO",False,2767,GTS SUB - BO,31,1N,70,86.359,146331420002
R0000215,102,"916 12TH ST, BOULDER CO",False,8343,UNIVERSITY PLACE - BO,31,1N,70,86.359,146331315003
R0000216,102,"864 20TH ST, BOULDER CO",False,9921,"TR, NBR 158, 160, 162",31,1N,70,86.359,146331400003
R0000217,105,"1340 MARSHALL ST, BOULDER CO",False,8424,VERMONT - BO,36,1N,71,86.359,146136140001
R0000218,102,"755 LINCOLN PL, BOULDER CO",False,8343,UNIVERSITY PLACE - BO,31,1N,70,86.359,146331327016
R0000224,109,"2320 22ND ST, BOULDER CO",False,846,BOULDER O T EAST & WEST & NORTH - BO,30,1N,70,86.359,146330607008
R0000225,101,"1913 ARAPAHOE AVE, BOULDER CO",False,1913,CULVER - BO,30,1N,70,86.359,146330844009
R0000226,101,"1921 ARAPAHOE AVE, BOULDER CO",False,1913,CULVER - BO,30,1N,70,86.359,146330844010
R0000227,101,"1817 CANYON BLVD, BOULDER CO",False,7145,SCHROEDER-HICKMAN SUB - BO,30,1N,70,86.359,146330861002
R0000238,105,"902 MARINE ST, BOULDER CO",False,7434,SMITHS TO WEST BOULDER - BO,36,1N,71,86.359,146136119004
R0000241,109,"2236 MAPLETON AVE, BOULDER CO",False,846,BOULDER O T EAST & WEST & NORTH - BO,30,1N,70,86.359,146330608002
R0000242,101,"1610 GROVE ST, BOULDER CO",False,5946,ORCHARD HOME - BO,30,1N,70,86.359,146330365002
R0000244,105,"611 MARINE ST, BOULDER CO",False,109,ALAYA SEED SUBDIVISON - BO,36,1N,71,86.359,146136158001
R0000249,103,"550 13TH ST, BOULDER CO",False,8635,WELLINGTON HEIGHTS - BO,6,1S,70,86.359,157706224005
R0000250,109,"1540 HIGH ST, BOULDER CO",False,846,BOULDER O T EAST & WEST & NORTH - BO,30,1N,70,86.359,146330231004
R0000252,109,"2555 PINE ST, BOULDER CO",False,6493,PINE STREET - BO,29,1N,70,86.359,146329206007
R0000253,107,"436 HIGHLAND AVE, BOULDER CO",False,4888,MAPLETON - BO,25,1N,71,86.359,146125413003
R0000254,109,"1725 SUNSET BLVD, BOULDER CO",False,7981,SUNSET HILL - BO,30,1N,70,86.359,146330226041
R0000255,109,"2227 16TH ST, BOULDER CO",False,846,BOULDER O T EAST & WEST & NORTH - BO,30,1N,70,86.359,146330308002
R0000256,105,"1615 7TH ST, BOULDER CO",False,7434,SMITHS TO WEST BOULDER - BO,36,1N,71,86.359,146136122011
R0000258,101,"2406 WALNUT ST, BOULDER CO",False,846,BOULDER O T EAST & WEST & NORTH - BO,30,1N,70,86.359,146330432003
R0000261,107,"444 PINE ST, BOULDER CO",False,4933,MAPLETON TERRACE - BO,25,1N,71,86.359,146125433002
R0000264,101,"2252 GOSS CIR, BOULDER CO",False,4458,LONESTAR - BO,30,1N,70,86.359,146330832001
R0000269,103,"701 9TH ST, BOULDER CO",False,1469,CHAUTAUQUA HEIGHTS - BO,36,1N,71,86.359,146136418009
R0000282,102,"835 11TH ST, BOULDER CO",False,8343,UNIVERSITY PLACE - BO,31,1N,70,86.359,146331324012
R0000286,103,"815 PARK LN, BOULDER CO",False,2567,FLATIRONS PARK - BO,36,1N,71,86.359,146136434006
R0000300,102,"715 19TH ST, BOULDER CO",False,8343,UNIVERSITY PLACE - BO,31,1N,70,86.359,146331409010
R0000305,109,"1556 SUNSET BLVD, BOULDER CO",False,7981,SUNSET HILL - BO,30,1N,70,86.359,146330226023
R0000307,102,"250 FAIR PL, BOULDER CO",False,3024,GREENBRIAR - BO,6,1S,70,86.359,157706123001
R0000309,107,"414 MORRISON ALLEY , BOULDER CO",False,7057,SAN FRANCISCO TOWNHOUSES - BO,25,1N,71,86.359,146125449001
R0000310,107,"401 PEARL ST, BOULDER CO",False,846,BOULDER O T EAST & WEST & NORTH - BO,30,1N,70,86.359,146125437008
R0000311,102,"1071 11TH ST, BOULDER CO",False,8343,UNIVERSITY PLACE - BO,31,1N,70,86.359,146331308020
R0000314,103,"1084 GRANT PL, BOULDER CO",False,6981,ROSE HILL - BO,36,1N,71,86.359,146136413022
R0000315,102,"738 14TH ST, BOULDER CO",False,8343,UNIVERSITY PLACE - BO,31,1N,70,86.359,146331333006
R0000319,109,"1734 PINE ST, BOULDER CO",False,846,BOULDER O T EAST & WEST & NORTH - BO,30,1N,70,86.359,146330311003
R0000324,102,"320 16TH ST, BOULDER CO",False,3822,INTERURBAN PARK - BO,6,1S,70,86.359,157706214007
R0000328,102,"730 LINCOLN PL, BOULDER CO",False,8343,UNIVERSITY PLACE - BO,31,1N,70,86.359,146331328005
R0000334,109,"2333 21ST ST, BOULDER CO",False,1107,BUZZWORM - BO,30,1N,70,86.359,146330529001
R0000337,105,"530 UNIVERSITY AVE, BOULDER CO",False,9921,"TR, NBR 158, 160, 162",36,1N,71,86.359,146136100050
R0000340,101,"2118 GOSS CIR, BOULDER CO",False,1913,CULVER - BO,30,1N,70,86.359,146330834004
R0000344,105,"1530 8TH ST, BOULDER CO",False,7434,SMITHS TO WEST BOULDER - BO,36,1N,71,86.359,146136120008
R0000345,101,"1803 GROVE ST, BOULDER CO",False,1913,CULVER - BO,30,1N,70,86.359,146330839007
R0000347,105,"680 PENNSYLVANIA AVE, BOULDER CO",False,3239,HAYDENS - BO,36,1N,71,86.359,146136132004
R0000348,103,"777 WILLOW BROOK RD, BOULDER CO",False,8899,WILLOWBROOK - BO,36,1N,71,86.359,146136429001
R0000351,109,"1645 SUNSET BLVD, BOULDER CO",False,7981,SUNSET HILL - BO,30,1N,70,86.359,146330226046
