strap,transaction_date,sales_cd,sales_cd_dscr,price
R0000008,1978-01-03,Q,qualified,65000
R0000019,1980-08-13,U,unqualified,75000
R0000019,1985-04-08,U,unqualified,110600
R0000019,1992-04-22,Q,qualified,126400
R0000019,2000-06-02,Q,qualified,332000
R0000021,1989-09-19,U,unqualified,73300
R0000021,1992-07-29,U,unqualified,176000
R0000021,2006-10-17,Q,qualified,825000
R0000021,2009-05-12,Q,qualified,890000
R0000024,1994-09-06,Q,qualified,265000
R0000024,1999-01-26,Q,qualified,360000
R0000024,2004-02-20,U,unqualified,570000
R0000026,2008-12-22,U,unqualified,960000
R0000026,2017-02-15,Q,qualified,1240000
R0000027,1996-10-03,U,unqualified,128000
R0000027,2007-05-01,Q,qualified,945000
R0000027,2014-01-31,Q,qualified,1245000
R0000027,2020-01-08,Q,qualified,1650000
R0000028,1973-06-22,U,unqualified,84300
R0000028,2018-08-15,Q,qualified,2350000
R0000028,2021-02-11,U,unqualified,4110000
R0000031,1987-05-11,Q,qualified,115000
R0000031,1989-01-04,U,unqualified,194400
R0000031,2020-10-23,Q,qualified,1760000
R0000032,1993-06-29,Q,qualified,150000
R0000032,1995-08-07,U,unqualified,27000
R0000032,1998-09-03,Q,qualified,245000
R0000032,2000-05-01,Q,qualified,322000
R0000032,2005-04-27,U,unqualified,395000
R0000034,1972-03-30,U,unqualified,33000
R0000036,1999-06-22,U,unqualified,376200
R0000037,1977-02-02,U,unqualified,40000
R0000037,1986-06-04,Q,qualified,84500
R0000037,1996-05-17,Q,qualified,180000
R0000037,2002-04-25,U,unqualified,330900
R0000037,2007-06-27,Q,qualified,402500
R0000038,1994-01-27,U,unqualified,76000
R0000038,2001-06-15,Q,qualified,300000
R0000038,2007-05-25,Q,qualified,439000
R0000038,2011-05-06,Q,qualified,450500
R0000038,2015-06-15,Q,qualified,569900
R0000048,1980-08-13,U,unqualified,83000
R0000048,1986-05-27,Q,qualified,116500
R0000048,2010-06-10,Q,qualified,555000
R0000048,2018-07-27,Q,qualified,980000
R0000049,1988-10-04,Q,qualified,89000
R0000049,1997-03-04,Q,qualified,188000
R0000049,2001-04-06,U,unqualified,389900
R0000049,2002-06-10,U,unqualified,435000
R0000049,2006-07-17,U,unqualified,575000
R0000049,2008-07-25,Q,qualified,650000
R0000052,1987-02-02,Q,qualified,207500
R0000052,1987-10-05,U,unqualified,106800
R0000052,2015-06-02,U,unqualified,1350000
R0000052,2019-11-04,Q,qualified,2200000
R0000086,1987-01-08,Q,qualified,116000
R0000086,1996-09-17,Q,qualified,200000
R0000086,2003-12-19,Q,qualified,500000
R0000086,2011-12-20,U,unqualified,530000
R0000087,1987-04-08,Q,qualified,69000
R0000087,1994-01-31,Q,qualified,155000
R0000087,2005-02-03,Q,qualified,325000
R0000089,1975-10-31,Q,qualified,95000
R0000089,1983-03-18,Q,qualified,215000
R0000094,1989-01-04,Q,qualified,94000
R0000094,1992-07-06,Q,qualified,122000
R0000094,2023-09-22,Q,qualified,896000
R0000097,1998-11-04,Q,qualified,229900
R0000097,2003-04-30,Q,qualified,383000
R0000097,2011-04-22,U,unqualified,491000
R0000097,2021-10-28,Q,qualified,1060000
R0000100,1984-05-02,Q,qualified,104300
R0000102,1977-07-19,U,unqualified,56000
R0000105,2004-11-12,U,unqualified,625000
R0000106,1991-07-02,U,unqualified,150000
R0000106,1992-12-22,U,unqualified,145000
R0000106,1999-05-06,Q,qualified,690000
R0000106,2014-03-13,Q,qualified,1225000
R0000109,2013-11-13,Q,qualified,825000
R0000110,1973-06-22,Q,qualified,65000
R0000110,1993-06-02,Q,qualified,354000
R0000117,1977-05-03,U,unqualified,27400
R0000117,1977-10-28,U,unqualified,98800
R0000117,2005-08-05,Q,qualified,460000
R0000117,2005-10-20,U,unqualified,360000
R0000117,2006-08-07,U,unqualified,350000
R0000117,2014-04-28,Q,qualified,870000
R0000119,1980-02-04,Q,qualified,102000
R0000119,1982-11-19,Q,qualified,115500
R0000119,1986-10-02,Q,qualified,117000
R0000119,2022-06-14,Q,qualified,1350000
R0000121,1982-09-30,Q,qualified,93500
R0000122,1996-08-01,U,unqualified,860000
R0000122,2007-02-20,U,unqualified,4000000
R0000122,2007-02-20,U,unqualified,2000000
R0000125,1980-06-30,Q,qualified,160000
R0000125,1981-04-09,U,unqualified,50000
R0000125,1988-10-03,Q,qualified,189500
R0000125,2020-09-28,Q,qualified,1400000
R0000135,2005-07-07,U,unqualified,450000
R0000135,2006-07-24,U,unqualified,518500
R0000135,2010-06-18,U,unqualified,510000
R0000136,1986-07-22,Q,qualified,151500
R0000136,1988-07-05,Q,qualified,164000
R0000139,1988-06-14,Q,qualified,190000
R0000141,1986-02-03,Q,qualified,85000
R0000141,2019-09-09,U,unqualified,850000
R0000141,2023-07-26,Q,qualified,1275000
R0000146,1994-03-16,U,unqualified,320000
R0000146,2001-02-09,Q,qualified,578900
R0000146,2002-01-24,Q,qualified,579000
R0000146,2003-09-23,U,unqualified,699000
R0000149,1988-05-12,Q,qualified,114500
R0000149,2012-06-15,U,unqualified,855000
R0000149,2015-04-02,U,unqualified,1500000
R0000169,1991-08-14,Q,qualified,270000
R0000169,1992-07-13,Q,qualified,1173200
R0000169,1995-07-20,Q,qualified,1250000
R0000169,2010-10-18,Q,qualified,1490000
R0000173,1977-09-28,Q,qualified,26000
R0000177,1991-08-26,Q,qualified,127500
R0000177,1998-07-21,Q,qualified,254500
R0000177,2009-01-08,U,unqualified,100000
