,year,month,market_area_101,market_area_102,market_area_103,market_area_104,market_area_105,market_area_106,market_area_107,market_area_108,market_area_109
0,2017,7,1.4591,1.607,1.6384,1.5174,1.5532,1.5728,1.5938,1.2996,1.4132
1,2017,8,1.4485,1.5989,1.6288,1.5075,1.5481,1.5654,1.583,1.2996,1.4132
2,2017,9,1.4379,1.5908,1.6193,1.4977,1.543,1.5579,1.5723,1.2996,1.4132
3,2017,10,1.4273,1.5828,1.6099,1.488,1.5379,1.5505,1.5616,1.2996,1.3913
4,2017,11,1.4169,1.5748,1.6005,1.4783,1.5329,1.5431,1.551,1.2996,1.384
5,2017,12,1.4065,1.5669,1.5912,1.4686,1.5278,1.5358,1.5405,1.2996,1.3768
6,2018,1,1.3962,1.559,1.5819,1.4591,1.5228,1.5285,1.5301,1.2996,1.3696
7,2018,2,1.3962,1.5511,1.5727,1.4496,1.5178,1.5212,1.5197,1.2996,1.3696
8,2018,3,1.3962,1.5433,1.5635,1.4402,1.5128,1.514,1.5094,1.2996,1.3554
9,2018,4,1.3962,1.5355,1.5544,1.4308,1.5078,1.5068,1.4991,1.2996,1.3486
10,2018,5,1.3962,1.5278,1.5454,1.4215,1.5029,1.4996,1.489,1.2996,1.3419
11,2018,6,1.3962,1.5201,1.5364,1.4122,1.5029,1.4925,1.4789,1.2996,1.3353
12,2018,7,1.3962,1.5124,1.5274,1.403,1.5029,1.4854,1.4688,1.2996,1.3287
13,2018,8,1.3962,1.5093,1.5185,1.3939,1.5029,1.4783,1.4589,1.2996,1.3221
14,2018,9,1.3962,1.5062,1.5097,1.3848,1.5029,1.4713,1.449,1.2996,1.3155
15,2018,10,1.3962,1.5032,1.5009,1.3758,1.5029,1.4643,1.449,1.2996,1.309
16,2018,11,1.3962,1.5001,1.4981,1.3803,1.5029,1.4643,1.449,1.2996,1.3025
17,2018,12,1.3962,1.4971,1.4954,1.3847,1.5029,1.4643,1.449,1.2996,1.296
18,2019,1,1.3962,1.494,1.4926,1.3892,1.5029,1.4643,1.449,1.2996,1.2896
19,2019,2,1.3962,1.491,1.4898,1.3937,1.5029,1.4643,1.449,1.2996,1.2832
20,2019,3,1.3962,1.4879,1.4871,1.3982,1.5029,1.4643,1.449,1.2996,1.2768
21,2019,4,1.3962,1.4849,1.4843,1.4027,1.5029,1.4643,1.449,1.2996,1.2704
22,2019,5,1.3962,1.4819,1.4816,1.4072,1.5029,1.4643,1.449,1.2996,1.2641
23,2019,6,1.3962,1.4789,1.4789,1.4118,1.5029,1.4643,1.449,1.2996,1.2706
24,2019,7,1.3962,1.4758,1.4761,1.4163,1.5029,1.4643,1.449,1.2996,1.2771
25,2019,8,1.3962,1.4728,1.4734,1.4209,1.5029,1.4643,1.449,1.2996,1.2836
26,2019,9,1.3962,1.4698,1.4707,1.4255,1.5029,1.4643,1.449,1.2996,1.2902
27,2019,10,1.3962,1.4669,1.468,1.4301,1.5029,1.4643,1.449,1.2996,1.2968
28,2019,11,1.3962,1.4639,1.4653,1.4347,1.5029,1.4643,1.449,1.2996,1.2968
29,2019,12,1.382,1.4609,1.4626,1.4394,1.4899,1.4643,1.449,1.2996,1.3101
30,2020,1,1.3678,1.4579,1.4599,1.444,1.4771,1.4643,1.449,1.2996,1.3168
31,2020,2,1.3538,1.4433,1.4572,1.4487,1.4644,1.4643,1.449,1.2996,1.3235
32,2020,3,1.34,1.4289,1.4545,1.4534,1.4518,1.4643,1.4359,1.2996,1.3303
33,2020,4,1.3262,1.4289,1.4518,1.439,1.4392,1.4426,1.4229,1.2996,1.3371
34,2020,5,1.3127,1.4005,1.4315,1.4247,1.4268,1.4213,1.41,1.2996,1.344
35,2020,6,1.2992,1.3865,1.4115,1.4106,1.4146,1.4003,1.3972,1.2996,1.3508
36,2020,7,1.2859,1.3726,1.3919,1.3967,1.4024,1.3796,1.3846,1.2996,1.3578
37,2020,8,1.2728,1.3589,1.3724,1.3828,1.3903,1.3592,1.3721,1.2996,1.3381
38,2020,9,1.2598,1.3453,1.3533,1.3691,1.3783,1.3391,1.3597,1.2827,1.3188
39,2020,10,1.2469,1.3318,1.3344,1.3556,1.3664,1.3193,1.3474,1.266,1.2997
40,2020,11,1.2341,1.3185,1.3158,1.3422,1.3547,1.2998,1.3352,1.2495,1.2809
41,2020,12,1.2215,1.3053,1.2974,1.3289,1.343,1.2806,1.3231,1.2333,1.2624
42,2021,1,1.209,1.2923,1.2793,1.3157,1.3314,1.2617,1.3111,1.2172,1.2441
43,2021,2,1.1966,1.2794,1.2615,1.3027,1.32,1.2431,1.2993,1.2014,1.2262
44,2021,3,1.1844,1.2666,1.2439,1.2898,1.3086,1.2247,1.2875,1.1857,1.2084
45,2021,4,1.169,1.2539,1.2265,1.277,1.2973,1.2066,1.2759,1.1703,1.191
46,2021,5,1.1539,1.2414,1.2094,1.2644,1.2861,1.1888,1.2643,1.155,1.191
47,2021,6,1.139,1.229,1.1925,1.2519,1.257,1.1712,1.2529,1.14,1.1568
48,2021,7,1.1243,1.2167,1.1759,1.2395,1.2286,1.1539,1.2249,1.1252,1.14
49,2021,8,1.1097,1.1904,1.1595,1.2102,1.2008,1.1368,1.1976,1.1105,1.1236
50,2021,9,1.0954,1.1648,1.1433,1.1817,1.1737,1.1188,1.1709,1.0961,1.1073
51,2021,10,1.0812,1.1397,1.1274,1.1539,1.1471,1.101,1.1448,1.0818,1.0913
52,2021,11,1.0672,1.1151,1.1051,1.1267,1.1212,1.0835,1.1193,1.0677,1.0755
53,2021,12,1.0534,1.0911,1.0832,1.1001,1.0958,1.0662,1.0944,1.0538,1.06
54,2022,1,1.0398,1.0676,1.0618,1.0742,1.071,1.0493,1.07,1.0401,1.0447
55,2022,2,1.0264,1.0445,1.0408,1.0489,1.0468,1.0326,1.0461,1.0266,1.0296
56,2022,3,1.0131,1.022,1.0202,1.0241,1.0231,1.0162,1.0228,1.0132,1.0147
57,2022,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,2022,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,2022,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
